Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting)
"Italy","NET.IT280A","RETE MONITORAGGIO ARIA REGIONE SARDEGNA","IT1996A","CENMA1","SPO.IT1996A_5_BETA_2010-04-30_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","13.961","ug/m3","89.86","1","Background","Rural","8.7731","40.2564","532.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1996A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT279A","RETE REGIONALE QUALITA' DELL'ARIA DELLA TOSCANA","IT2242A","FI-FIGLINE","SPO.IT2242A_5_BETA_2016-03-24_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","20.279","ug/m3","98.08","1","Background","Urban","11.4669","43.6230","121.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT2242A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT281A","RETE REGIONALE QUALITA' ARIA DEL VENETO","IT2245A","BL - La Cerva","SPO.IT2245A_5_gravi_2017-01-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","22.237","ug/m3","99.45","1","Traffic","Urban","12.2128","46.1438","403.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT2245A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT255A","RETE REGIONALE DI QUALITÀ DELL'ARIA DELLA REGIONE EMILIA-ROMAGNA","IT1920A","SAN FRANCESCO","SPO.IT1920A_5_BETA_2009-03-19_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","32.719","ug/m3","96.44","1","Traffic","Urban","10.8189","44.5412","131.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1920A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT224A","PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA","IT1121A","Druento - La Mandria","SPO.IT1121A_5_gravi_2002-11-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","19.197","ug/m3","97.26","1","Background","Rural","7.5602","45.1758","335.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1121A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT224A","PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA","IT1877A","Torino - Rubino","SPO.IT1877A_5_gravi_2007-03-29_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","28.304","ug/m3","84.66","1","Background","Urban","7.6259","45.0419","260.0","Torino                                                                          ","IT004C1                                           ","857910","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1877A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT116A","MONITORAGGIO AMBIENTALE DELLA REGIONE CAMPANIA A CURA DELL'A.R.P.A.C.","IT2210A","Solofra Zona Industriale","SPO.IT2210A_5_BETA_2015-01-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","23.029","ug/m3","96.16","1","Industrial","Suburban","14.8246","40.8356","303.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT2210A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT245A","EDISON","IT2078A","Pietropaolo","SPO.IT2078A_5_BETA_2007-09-10_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","21.333","ug/m3","80.27","1","Industrial","Rural","16.6692","38.8705","82.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT2078A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT255A","RETE REGIONALE DI QUALITÀ DELL'ARIA DELLA REGIONE EMILIA-ROMAGNA","IT2027A","SAVIGNANO DI RIGO","SPO.IT2027A_5_BETA_2011-06-12_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","11.773","ug/m3","93.97","1","Background","Rural","12.2247","43.9275","615.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT2027A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT255A","RETE REGIONALE DI QUALITÀ DELL'ARIA DELLA REGIONE EMILIA-ROMAGNA","IT1163A","SAN LAZZARO","SPO.IT1163A_5_BETA_2010-01-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","24.554","ug/m3","98.90","1","Traffic","Urban","11.4164","44.4722","64.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1163A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT282A","RETE REGIONALE QUALITÀ ARIA AMBIENTE","IT2289A","LABORATORIO MOBILE","SPO.IT2289A_5_BETA_2018-01-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","23.672","ug/m3","99.71","1","Industrial","Urban","13.4923","43.6059","","Ancona                                                                          ","IT017C1                                           ","99077","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT2289A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT280A","RETE MONITORAGGIO ARIA REGIONE SARDEGNA","IT2060A","CENSS2","SPO.IT2060A_5_BETA_2012-02-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","12.999","ug/m3","94.25","1","Background","Rural","8.2753","40.8092","61.0","Sassari                                                                         ","IT026C1                                           ","125273","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT2060A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT255A","RETE REGIONALE DI QUALITÀ DELL'ARIA DELLA REGIONE EMILIA-ROMAGNA","IT1908A","SAVIGNANO","SPO.IT1908A_5_BETA_2008-08-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","25.045","ug/m3","96.99","1","Background","Suburban","12.4025","44.0958","32.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1908A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT253A","ARPACAL","IT2089A","Parco della biodiversità mediterranea","SPO.IT2089A_5_BETA_2014-10-14_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","14.982","ug/m3","95.07","1","Background","Urban","16.5793","38.9183","370.0","Catanzaro                                                                       ","IT024C1                                           ","87397","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT2089A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT252A","RETE REGIONALE UMBRIA","IT1728A","Le Grazie","SPO.IT1728A_5_BETA_2005-02-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","27.749","ug/m3","98.36","1","Traffic","Urban","12.6517","42.5522","138.0","Terni                                                                           ","IT515C1                                           ","110003","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1728A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT253A","ARPACAL","IT2112A","Rocca di Neto","SPO.IT2112A_5_BETA_2014-10-14_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","22.873","ug/m3","90.68","1","Background","Suburban","17.0103","39.1875","71.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT2112A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT232A","ARPA MOLISE","IT1863A","VASTOGIRARDI","SPO.IT1863A_5_gravi_2015-01-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","7.179","ug/m3","10.68","1","Background","Rural","14.2089","41.7594","954.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1863A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT255A","RETE REGIONALE DI QUALITÀ DELL'ARIA DELLA REGIONE EMILIA-ROMAGNA","IT1975A","PARCO MONTECUCCO","SPO.IT1975A_5_BETA_2009-09-15_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","27.025","ug/m3","96.99","1","Background","Urban","9.6692","45.0383","61.0","Piacenza                                                                        ","IT033C1                                           ","104260","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1975A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT274A","RETE DI RILEVAMENTO QA DELLA ZONA TRIESTINA","IT2260A","Basovizza","SPO.IT2260A_5_BETA_2016-04-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","11.746","ug/m3","88.32","1","Background","Rural","13.8550","45.6473","","Trieste                                                                         ","IT015C1                                           ","201613","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT2260A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT255A","RETE REGIONALE DI QUALITÀ DELL'ARIA DELLA REGIONE EMILIA-ROMAGNA","IT0895A","ZALAMELLA","SPO.IT0895A_5_BETA_1999-06-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","30.169","ug/m3","99.18","1","Traffic","Urban","12.1867","44.4286","4.0","Ravenna                                                                         ","IT506C1                                           ","158247","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT0895A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT255A","RETE REGIONALE DI QUALITÀ DELL'ARIA DELLA REGIONE EMILIA-ROMAGNA","IT1910A","SARAGAT","SPO.IT1910A_5_BETA_2008-03-05_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","27.869","ug/m3","98.63","1","Background","Suburban","10.3708","44.9261","30.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1910A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT281A","RETE REGIONALE QUALITA' ARIA DEL VENETO","IT2070A","PD - Granze","SPO.IT2070A_5_BETA_2011-01-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","37.031","ug/m3","97.26","1","Industrial","Urban","11.9400","45.3775","9.0","Padova                                                                          ","IT028C1                                           ","210077","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT2070A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT267A","COMUNE DI VIBO VALENTIA","IT2092A","Via Argentaria","SPO.IT2092A_5_BETA_2014-12-31_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","22.390","ug/m3","96.99","1","Traffic","Urban","16.0983","38.6758","479.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT2092A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT232A","ARPA MOLISE","IT1863A","VASTOGIRARDI","SPO.IT1863A_5_nephelometry_2007-01-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","8.007","ug/m3","41.37","1","Background","Rural","14.2089","41.7594","954.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1863A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT256A","RETE DI RILEVAMENTO QUALITA' DELL'ARIA DISTRETTI CHIETI-PESCARA","IT2167A","Francavilla","SPO.IT2167A_5_BETA_2017-01-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","18.118","ug/m3","96.71","1","Background","Suburban","14.2792","42.4214","6.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT2167A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT231A","ARPAL DIPARTIMENTO DI SAVONA","IT1706A","VIA SAN LORENZO - SAVONA","SPO.IT1706A_5_gravi_2005-01-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","17.389","ug/m3","89.04","1","Traffic","Urban","8.4772","44.3131","14.0","Savona                                                                          ","IT052C1                                           ","59439","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1706A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT252A","RETE REGIONALE UMBRIA","IT1180A","CORTONESE","SPO.IT1180A_5_BETA_2005-10-12_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","23.589","ug/m3","88.22","1","Background","Urban","12.3661","43.1031","290.0","Perugia                                                                         ","IT016C1                                           ","164880","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1180A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT255A","RETE REGIONALE DI QUALITÀ DELL'ARIA DELLA REGIONE EMILIA-ROMAGNA","IT2073A","PARCO EDILCARANI","SPO.IT2073A_5_BETA_2010-02-16_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","25.128","ug/m3","98.08","1","Background","Urban","10.7914","44.5394","118.0","Sassuolo                                                                        ","IT073C1                                           ","40278","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT2073A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT255A","RETE REGIONALE DI QUALITÀ DELL'ARIA DELLA REGIONE EMILIA-ROMAGNA","IT0721A","GIARDINI","SPO.IT0721A_5_BETA_2005-05-24_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","33.168","ug/m3","98.08","1","Traffic","Urban","10.9047","44.6360","39.0","Modena                                                                          ","IT030C1                                           ","189013","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT0721A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
